AttributeID,AttributeName,AttributeDescription,CategoryID,CategoryName,PositivePhrase,NegativePhrase,Comparator,Denominator,DenominatorRationale,DataSourceLink,DataSourceRationale,DataSourceDate,Middle
1,Number of Schools,Sum of all Schools (primary etc) and universities,1,Education,Smart as Paint!,Maybe go into politics?,Higher,,,https://www.data.vic.gov.au/data/dataset/2011-local-government-area-profile,Vic Data,2011,
11,Number of Kindergardens,Sum of all kindergardens,1,Education,A garden for each kid!,Getting children used to commuting...,Higher,,,https://www.data.vic.gov.au/data/dataset/2011-local-government-area-profile,Vic Data,2011,
2,Number of Hospitals/GPs,Number of Hospitals/GPs,2,Health,Squeaky healthy!,Bit pale around the gills..,Higher,,,https://www.data.vic.gov.au/data/dataset/2011-local-government-area-profile,Vic Data,2011,
4,Crime Rate,"Total offences per 10,000 population LGA",3,Safety,Lost my wallet; got it back with more money in it.,Smells dodgy up in here...,Lower,,,https://www.data.vic.gov.au/data/dataset/crime-statistics-agency-data-tables-recorded-offences/resource/285c4025-bc55-4ef5-91a7-5bfb793328bc,,2014,
7,Crash Rate,Total fatal and injury car crashes last five years,3,Safety,Even the cats wear high-vis vests!,Put on a helmet when you go out!,Lower,,,https://www.data.vic.gov.au/data/dataset/crashes-last-five-years,,2009-2014,
10,Land Area,LGA Area in ha,4,Environment,Even my garden has a garden!,Can of Sardines!,Higher,,,http://stat.abs.gov.au/,,,
51,Inland Water Area,LGA water are in HA,4,Environment,Wanna go fishing?,Couldn't float a hat in that puddle...,Higher,,,http://stat.abs.gov.au/,,2008,
3,Estimated Population,Estimated Population,6,Population,,,Middle,,,http://www.abs.gov.au/AUSSTATS/abs@.nsf/DetailsPage/3218.02013-14?OpenDocument,,2014,42996
8,Median house price,Victoria's annual median property prices,7,Housing,My dog house has a swimming pool!,Trade that shack in for a pack of cordial!,Higher,,,http://www.dtpli.vic.gov.au/property-and-land-titles/property-information/property-prices,,2014.12.14,
31,Median rental price 1br flat,1br flat quaterly median rents for VIC LGA,7,Housing,,,Lower,,,https://www.data.vic.gov.au/data/dataset/rental-report-quarterly-quarterly-median-rents-by-lga,,2013.06 - 2013.08,
32,Median rental price 2br flat,2br flat quaterly median rents for VIC LGA,7,Housing,,,Lower,,,https://www.data.vic.gov.au/data/dataset/rental-report-quarterly-quarterly-median-rents-by-lga,,2013.06 - 2013.08,
33,Median rental price 3br flat,3br flat quaterly median rents for VIC LGA,7,Housing,,,Lower,,,https://www.data.vic.gov.au/data/dataset/rental-report-quarterly-quarterly-median-rents-by-lga,,2013.06 - 2013.08,
34,Median rental price 2br house,2br house quaterly median rents for VIC LGA,7,Housing,,,Lower,,,https://www.data.vic.gov.au/data/dataset/rental-report-quarterly-quarterly-median-rents-by-lga,,2013.06 - 2013.08,
35,Median rental price 3br house,3br house quaterly median rents for VIC LGA,7,Housing,,,Lower,,,https://www.data.vic.gov.au/data/dataset/rental-report-quarterly-quarterly-median-rents-by-lga,,2013.06 - 2013.08,
